group,messages_sampled,messages_estimated,top_lang,top_lang_pct,en_pct,year_min,year_max,n_langs
gmane.linux.debian.devel.kernel,237,11850,en,98.7,98.7,2001,2019,4
gmane.recreation.cars.evdl,237,11850,en,100.0,100.0,2007,2019,1
gmane.comp.apache.db.derby.devel,236,11800,en,83.1,83.1,2004,2018,4
gmane.comp.desktop.xfce.commits,235,11750,en,90.2,90.2,2006,2019,18
gmane.comp.db.mysql.general,234,11700,en,98.7,98.7,2002,2017,4
gmane.comp.hardware.tandy.coco,234,11700,en,98.7,98.7,2003,2019,4
gmane.comp.java.tapestry.user,234,11700,en,98.3,98.3,2003,2019,4
gmane.comp.lang.haskell.glasgow.bugs,234,11700,en,93.6,93.6,2002,2019,9
gmane.comp.db.sqlite.general,233,11650,en,99.1,99.1,2003,2019,3
gmane.comp.jakarta.struts.devel,233,11650,en,86.3,86.3,2002,2019,10
gmane.linux.power-management.general,233,11650,en,98.3,98.3,2005,2019,5
gmane.comp.db.postgresql.brasil,232,11600,pt,92.2,1.7,2003,2017,8
gmane.org.user-groups.ale,232,11600,en,99.1,99.1,2003,2019,3
gmane.comp.gis.openstreetmap.region.de,231,11550,de,97.8,1.3,2007,2019,4
gmane.comp.multimedia.puredata.general,229,11450,en,98.7,98.7,2003,2019,4
gmane.os.apple.macports.scm,229,11450,en,66.8,66.8,2011,2019,12
gmane.comp.programming.extreme-programming,228,11400,en,98.2,98.2,2002,2016,5
gmane.linux.mandrake.newbie.french,228,11400,fr,95.6,2.2,2003,2012,6
gmane.comp.php.cakephp.general,227,11350,en,96.5,96.5,2007,2015,8
gmane.os.netbsd.devel.cvs.full,227,11350,en,100.0,100.0,2009,2019,1
gmane.comp.emulators.wine.devel,226,11300,en,100.0,100.0,2002,2017,1
gmane.science.linguistics.wikipedia.english,226,11300,en,100.0,100.0,2002,2019,1
gmane.comp.apache.incubator.ooo.issues,225,11250,en,55.1,55.1,2011,2019,7
gmane.ietf.announce,224,11200,en,100.0,100.0,2004,2019,1
gmane.comp.systems.newton.newtontalk,223,11150,en,98.7,98.7,2002,2019,4
gmane.linux.kernel.commits.mm,223,11150,en,100.0,100.0,2006,2018,1
gmane.os.reactos.bugs,222,11100,en,65.3,65.3,2014,2019,7
gmane.comp.lang.go.devel,219,10950,en,90.0,90.0,2011,2018,6
gmane.comp.web.spip.zone.cvs,219,10950,fr,67.1,28.3,2006,2019,8
gmane.comp.apache.user,218,10900,en,99.1,99.1,2002,2018,3
gmane.comp.cms.tiki.cvs,217,10850,en,89.9,89.9,2003,2019,6
gmane.comp.freeradius.user,216,10800,en,98.6,98.6,2003,2016,4
gmane.network.nsp.cisco,216,10800,en,99.1,99.1,2002,2018,3
gmane.comp.db.firebase.portuguese,215,10750,pt,93.0,0.5,2003,2018,8
gmane.comp.java.clojure.user,215,10750,en,99.5,99.5,2008,2019,2
gmane.comp.kde.digikam.devel,214,10700,en,75.2,75.2,2004,2018,9
gmane.linux.gentoo.devel,214,10700,en,96.7,96.7,2002,2018,6
gmane.linux.region.czech,214,10700,cs,48.6,4.2,2002,2006,15
gmane.network.wireshark.bugs,211,10550,en,82.9,82.9,2006,2019,3
gmane.linux.redhat.general,210,10500,en,99.0,99.0,1997,2015,3
gmane.linux.acpi.devel,209,10450,en,97.6,97.6,2002,2019,4
gmane.linux.audio.users,209,10450,en,99.0,99.0,2003,2018,3
